non_standard_date_0,non_standard_date_1,category_2,id_3,name_4,complex_5,non_standard_date_6,small_floats_7,category_8,very_large_number_9,boolean_10,mixed_numeric_11,mixed_dates_with_nulls_12,non_standard_date_13,mixed_dates_with_nulls_14,non_standard_date_15,complex_16,small_floats_17,boolean_18,category_19,utf8_20,utf8_21,mixed_names_with_nulls_22,category_23,mixed_dates_with_nulls_24,utf8_25,category_26,utf8_27,id_28,small_floats_29,small_floats_30,mixed_dates_with_nulls_31,mixed_dates_with_nulls_32,utf8_33,utf8_34,non_standard_date_35,complex_36,non_standard_date_37,mixed_names_with_nulls_38,very_large_number_39,complex_40,very_large_number_41,id_42,boolean_43,boolean_44,non_standard_date_45,id_46,category_47,mixed_numeric_48,non_standard_date_49,very_large_number_50,non_standard_date_51,mixed_numeric_52,id_53,name_54,non_standard_date_55,small_floats_56,mixed_dates_with_nulls_57,mixed_numeric_58,mixed_dates_with_nulls_59,boolean_60,sparsed_columns_61,boolean_62,non_standard_date_63,small_floats_64,non_standard_date_65,sparsed_columns_66,mixed_numeric_67,mixed_dates_with_nulls_68,small_floats_69,complex_70,boolean_71,id_72,mixed_numeric_73,very_large_number_74,email_75,mixed_missing_values_76,email_77,category_78,category_79,id_80,mixed_numeric_81,complex_82,non_standard_date_83,email_84,email_85,mixed_dates_with_nulls_86,mixed_names_with_nulls_87,id_88,mixed_dates_with_nulls_89,very_large_number_90,complex_91,non_standard_date_92,category_93,non_standard_date_94,small_floats_95,very_large_number_96,mixed_numeric_97,boolean_98,id_99
05/01/05,1995-10-11,,7812534312,Curtis Hanson,(0.778757212519579+0.35888148115200036j),13-10-1998,0.9317908861711276,D,32256800890756339617,True,184,,03/08/03,,12-04-2002,(0.5220487916991502+0.7949658557382304j),0.8262749377741204,NO,B,尹伟,李明,,C,,李龙,D,余琴,62555,0.6585782711676005,0.928961123002768,22-06-2022,,成婷,陆楠,07-23-2001,(0.37618008655515667+0.20015556228780162j),01-15-2016,,7185519126686921138,(0.5364808577618242+0.062008498522576505j),16911384334267236039,8130446942,False,True,10-06-2013,52038,B,568,07-07-1999,33102608940326780765,2021-04-22,846,3988942734,April Taylor,18-02-2010,0.5188142218880977,2000-05-14,984,,True,,YES,2020-08-09,0.3729072548860968,02-09-2009,,group,,0.3317025477505108,(0.8265867096621018+0.5494495648409189j),False,6602205504,boy,12417947656823035261,christophergonzalez@example.net,food,rtravis@example.com,A,A,76240,78,(0.07346127796826762+0.4197024089614251j),1997-01-08,smithrebecca@example.org,megan06@example.net,11-04-1995,Michael Foster,18079,,30143139573598133317,(0.15350317246431322+0.6882627457768824j),09-17-1996,C,2012-04-15,0.6116819140617121,55781638791675177953,Congress,NO,1117639106
16-11-2004,2011-07-27,,1772441885,Todd Jones,(0.4587177687641588+0.2739418430954266j),15-10-2004,0.24408759015135384,B,73716745237593230521,NO,argue,09-02-2008,02/13/2017,10-13-2016,01-04-2009,(0.9929640577644185+0.3106250317682179j),0.9561692508472575,,A,金明,张雪,,D,,任建国,B,郭桂荣,80829,0.269368101953278,0.42359407536482374,,,李淑英,胡桂英,07-15-2018,(0.1534075465698984+0.5151623489170537j),08-11-1995,Joshua Brown,10199456507851307192,(0.3932324315790453+0.6768379476398949j),36906986711878322461,9169513211,YES,True,28/07/28,23830,A,draw,12-09-2011,88924929768900251020,02-22-2012,lawyer,1541233830,Alyssa Wong,29-05-2008,0.36290783434247975,2000-03-14,504,25-09-1997,,,False,2008-09-19,0.12681592785999796,14-05-2013,,717,,0.16248281488239225,(0.3798339124600306+0.3110504548056733j),False,8557935993,bed,23874134989767166109,erikjohnson@example.net,degree,christopherhoffman@example.com,C,A,14451,everybody,(0.789112153783856+0.1502781086087387j),2017-10-03,mary88@example.com,kellymyers@example.com,,,31522,06-12-2014,82936146234279385725,(0.42561950375124+0.21827362148566365j),11-01-2001,C,2009-12-15,0.3177972944450106,89986239482779606448,675,,8155827174
23-02-2024,2018-05-16,,8518227461,Michelle Evans,(0.15939895167511464+0.6611278497949185j),19-11-2020,0.8600077901561598,C,23881339092321927625,YES,again,28-06-1996,20/02/20,05-15-2008,11-12-2019,(0.5145143444184394+0.6443079188930505j),0.2607864027801874,True,,刘桂兰,马彬,,A,03-01-2010,徐秀云,D,陆玉兰,72879,0.4163901343423786,0.7096641671846868,,,夏雪梅,胡小红,07-24-2009,(0.10802610089691633+0.4651344507075027j),11-15-1997,Heather Green,10379842886923968641,(0.4358011215289652+0.7856541981302044j),9680787134165837273,5331869887,,True,08/22/2013,98051,,style,02-07-2011,43363448655641699004,03/03/2017,person,6272392881,Michelle Dougherty,27-06-2005,0.5152298286622983,2016-09-21,287,28-11-2022,False,impact,,05/20/2019,0.8378289417150765,07-10-2014,,why,09-12-2007,0.4320679857047327,(0.78388821112821+0.25448107657938346j),False,1798445092,rich,93494731241694691610,calvarado@example.net,,kellyyoung@example.com,A,C,45957,122,(0.07797687904322081+0.23202012259203664j),1999-09-21,elizabethayers@example.com,samueljohnson@example.net,12-06-2000,,54490,03-30-1995,94658963472057262654,(0.2239270980023279+0.5975572087532891j),03-09-2008,D,2019-11-06,0.5833359575480367,53194764096582353614,where,NO,1027186744
06/04/2004,2012-08-03,D,3129638110,Christine Mckenzie,(0.5470395207826533+0.010854111937054434j),30-03-2014,0.04299274489234273,A,19596570920474206877,YES,station,12-07-2008,05-18-2009,09-07-2009,13-10-2022,(0.6178217435792699+0.3391576389286274j),0.4391780793743163,,,任桂荣,薛平,,D,08-06-1996,姜瑜,D,杜雪,76105,0.41761906776687985,0.2563407957692365,25-10-2001,20-06-2024,周淑英,刘辉,05-03-2016,(0.4617128612645446+0.5148414425028855j),08-04-2004,Jennifer Simmons,70640041672464181084,(0.4371690386789274+0.4768800054383848j),61745815258947542080,8182787949,False,False,12/31/2006,33554,D,response,09-30-2019,97900218668718655831,04/12/04,841,8969721586,Julie Brady,17-08-2020,0.42347917554609704,2019-06-11,shoulder,30-09-2020,NO,,YES,09-05-2014,0.8273677643516067,09-03-2008,free,movie,,0.9519486602824487,(0.5532908044561821+0.8150675856733168j),False,8092105070,442,85984576862186801568,amytorres@example.com,Not found,andrewholmes@example.net,A,D,82756,200,(0.20259453673633454+0.4507911282766892j),2004-02-15,alicia57@example.net,kimberlymadden@example.com,,Tracy Parker,40241,,66365361364333842013,(0.8134714531130456+0.5967422530222967j),11-11-2009,C,2017-12-22,0.7001702236269377,99148085455900766109,head,NO,1714806702
2011-08-20,2006-03-13,,5317167987,Tiffany Hill,(0.15248544022791333+0.8247243159668568j),20-03-2011,0.724508337093273,B,7483757810566133454,,fast,09-11-2000,29/08/29,01-20-2011,05-12-2007,(0.7627233416288629+0.7883082737021833j),0.9560159312214516,YES,A,陶红,陈亮,,B,03-04-2014,余红,,王秀珍,67434,0.7641228862377547,0.8395437752704946,,,林冬梅,李璐,10-25-2018,(0.97070302438252+0.7701301517203823j),11-24-2011,,49618699489146752988,(0.022811825029376065+0.4780564759168463j),31591694883823730383,8664389238,YES,True,04-13-2005,88299,B,smile,04-27-1997,58364064531292284426,12/30/1998,from,5807136113,Christopher Lindsey,09-10-1997,0.04204725053418512,,Democrat,,YES,federal,,2008-08-12,0.5546799614382666,24-09-2014,,103,07-02-2004,0.8539605718905718,(0.843060017252667+0.7644554750438836j),False,4728537867,977,34585020474890903127,ryanmason@example.com,Missing,stevensjessica@example.com,D,D,63932,113,(0.3808686854494687+0.16044417039082914j),2018-06-24,wrightryan@example.net,john78@example.org,,Kristin Ingram,30883,,41558517528639942073,(0.7613520368111039+0.0013220782148968269j),08-13-2016,A,2020-08-11,0.5249489549686868,54437610867248776287,228,NO,7749348147
05/11/05,1996-01-18,C,4620452668,Brittney Navarro,(0.06238764086038229+0.014692831186436495j),18-05-2022,0.7658867694048175,A,66993877452809719380,NO,57,,20-03-2008,,04-04-2003,(0.12782534878578322+0.0943720430776912j),0.10605956675474126,,,马娟,安琳,,,,郭欣,B,徐红霞,66465,0.766012271007682,0.017780611917339928,18-02-2008,,古洁,李成,01-30-2004,(0.11117649770075422+0.478623632131864j),01-31-2009,,19285351286212245996,(0.568029569054687+0.7791864530940812j),78794081768211044683,3829395822,False,False,12-16-2014,60209,A,environmental,08-10-2014,21513004484237968205,09-19-2015,36,3695529436,Erin Lopez,04-11-2008,0.5957931498708725,,reveal,,True,,NO,31/03/31,0.5498850527560085,01-05-1997,,695,,0.815323472948052,(0.3572147550515855+0.522494872388618j),True,7951563170,but,38116274889967016708,billy01@example.org,missing,nwagner@example.org,,,14240,attack,(0.6081495218163915+0.6657460451558345j),2017-05-01,dlopez@example.org,longjessica@example.net,03-09-2002,Grace Zavala,65518,06-08-2006,97446248283351694032,(0.43876707237857515+0.5157721552959414j),12-27-2015,B,1997-03-02,0.05878742645323709,4216885584541242327,600,,2099679860
07-22-1996,2022-08-13,C,3209149907,Richard Dorsey,(0.49519341999780564+0.21743873600179386j),02-06-2013,0.07357354420639006,,65257455817278644561,True,152,08-06-2015,01-25-2002,,20-06-2013,(0.8593185578112439+0.8343075341816258j),0.31148936017968565,YES,D,黄倩,尹琴,,,,鞠阳,C,黄秀芳,44612,0.04059237921617076,0.44150302718486756,,,江桂珍,朱晨,09-30-2007,(0.9377165317348896+0.8582824057984503j),11-05-2020,,99895980068024272946,(0.5370785799472564+0.38654267441992807j),36269811008150218766,9071442093,YES,True,25-02-2017,63276,C,amount,07-17-2008,37104626628114186219,10/19/2003,once,9432598711,Rebecca Gonzalez,15-07-2022,0.06936386339045464,2002-10-27,field,,NO,by,True,11/01/2002,0.4307289306890695,29-08-2020,than,investment,29-06-1996,0.01734817551022494,(0.6529525201901643+0.44338148564886315j),False,8110617719,791,22343912132019552151,cparker@example.com,Missing,amber23@example.net,D,C,26317,where,(0.8523963439154559+0.39505042005787516j),2000-08-30,bowenelizabeth@example.org,ksantiago@example.net,,,44174,03-30-2015,50681023297609480750,(0.26458066974313976+0.9731107653515766j),03-31-2020,C,2003-06-06,0.23304576786778775,9953945485041457545,station,YES,2842573197
2018-05-17,1999-10-15,D,2199271215,Jeremy Allen,(0.1276633326321558+0.10912866432160795j),06-10-2019,0.906882048052697,A,9642741608655074436,NO,688,,11-10-2001,08-06-2023,20-07-1995,(0.3992781683423453+0.18582261718857496j),0.14406975159376367,NO,A,孙华,陈建,Bobby Miller,C,04-15-2018,赵玉梅,B,刘俊,87894,0.6038105782111192,0.9426783627761061,05-07-2012,29-01-2007,王博,郭红梅,04-26-2012,(0.8508629788004767+0.20492848489982973j),03-25-2013,Austin Kim,18065602472926945061,(0.18884965795687503+0.19437270928835404j),84631008403600573309,4790782206,True,True,10/15/2013,26827,A,637,10-12-2000,31023348294263946837,2005-09-02,202,6006236762,Holly Garcia DDS,13-11-2001,0.76902756663752,,community,15-12-1999,True,,False,02/07/2016,0.9540145113403782,30-12-2020,he,110,28-08-1998,0.2934502085791999,(0.1917466134290179+0.3090853130810207j),True,4838127804,381,83262988465044147824,ramirezjoshua@example.org,,danielfrederick@example.net,D,B,36711,465,(0.18592655305126538+0.984173333682822j),2008-09-18,mendezdevon@example.org,diazallison@example.org,,,22720,,70750363663522807722,(0.8006963530389619+0.8469200389302152j),07-20-2007,B,2017-10-02,0.31554990285442197,81806395683567458731,those,True,4604674428
2001-12-14,2023-08-31,B,8453350855,Melanie Huynh,(0.8781938550727081+0.3282567630132718j),06-06-2004,0.16135489952197524,B,89135437994823798102,,than,,05/01/2015,03-11-1995,31-03-2010,(0.8919579960281279+0.12264696089092253j),0.43525927364963224,False,A,张云,朱帅,,D,,周芳,D,王敏,58131,0.20667836846984988,0.18351187339781805,07-05-2018,07-12-2017,陈玉梅,李雪,03-24-2013,(0.41111210700579237+0.128961315725875j),07-19-2015,,89145519543011341269,(0.9152665746960303+0.1595627901366904j),19330884881850575740,1879501425,YES,True,31/10/31,39547,D,378,08-29-2015,49698620824885009264,1995-05-10,Mr,7956767004,Jane Allen,03-12-2023,0.8752776139422238,2000-02-01,730,,,,True,19-01-2012,0.4922074075427887,12-03-2000,,149,,0.47882988497724766,(0.27376504446155225+0.5033437234048773j),True,2622081993,475,5080390964599601200,brittanysmith@example.org,stuff,kmartin@example.com,B,,12945,effect,(0.4028696858016336+0.8269046116901959j),2011-05-13,yhall@example.net,figueroakatie@example.org,09-07-2013,,53997,04-15-2013,82318974879740527157,(0.14899949503343246+0.2942665442634511j),03-25-2017,C,1997-07-05,0.9706585278960143,57549309713811066247,safe,True,3083069628
10-05-2007,2004-02-11,A,8124365606,Rebecca Allen,(0.23205124766802943+0.23207122273159497j),30-11-2014,0.683608952834621,C,52783049775606468993,,sport,29-06-2024,2002-11-14,03-03-2020,26-01-2007,(0.34396683544236384+0.4256927259024982j),0.3611268578254546,YES,C,朱建华,吴瑜,,,12-08-2010,彭琴,,李琴,11245,0.9004033541332351,0.048254487653853095,02-04-1996,17-01-2013,杨红霞,郭莉,06-25-2008,(0.49403265255565976+0.6115144689698964j),08-05-2002,,90042232132920738144,(0.4781160851316786+0.7687221258843989j),1199670735136404223,5484937309,False,True,2014-09-08,42927,A,273,02-17-2018,17936853695358922246,06-06-2008,698,7387403367,Jorge Ramos,02-06-1998,0.15871018170677598,,admit,,YES,,,1998-04-02,0.5066387949897566,22-03-2022,participant,593,07-12-2009,0.43560521415515063,(0.5854225765077614+0.3045611108860006j),False,9919756741,605,32437164271427526159,paynejason@example.org,Missing,carlaknight@example.net,D,,83239,read,(0.2557521055812596+0.837925517727195j),2014-07-25,wareshaun@example.com,amy83@example.net,09-08-1998,,47569,06-24-2014,28910817798654909099,(0.7122020679641465+0.5104684057350604j),05-29-2009,C,2015-09-05,0.9022862968168461,77570523158808460618,sit,NO,3879481259
